"codigo_item","numero_pedido","codigo_produto","cfop","ncm","percentual_desconto","quantidade","reservado","valor_deducao","valor_desconto","valor_mercadoria","valor_total","valor_unitario","dalt"
"8431188608","7671","8425327213","5.102","3006.10.90","0",1,"N","0","0","268","283","268","03/12/2024"
"8431316351","7672","8425327211","5.102","3006.10.90","0",10,"N","0","0","1690","1690","169","03/12/2024"
"8431331910","7673","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","194","169","03/12/2024"
"8431326688","7674","8431323167","5.102","3006.10.90","5",1,"N","0","14.1","282","282.9","282","03/12/2024"
"8431327040","7675","8425297430","6.108","9018.20.90","0",1,"N","0","0","5385","5385","5385","03/12/2024"
"8431337063","7676","8425297440","6.910","9004.90.20","0",1,"N","0","0","79.9","79.9","79.9","03/12/2024"
"8431557244","7676","8431498683","6.910","2934.30.90","100",1,"N","0","175","175","0","175","03/12/2024"
"8431428560","7677","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8431632856","7680","8431592137","5.102","3004.90.99","5.7396449704",1,"N","0","9.7","169","184.3","169","03/12/2024"
"8431651247","7681","8425327213","5.102","3006.10.90","32.83",1,"N","0","130.99","399","268.01","399","03/12/2024"
"8431651598","7681","8431592121","5.102","3006.10.90","0",1,"N","0","0","268","268","268","03/12/2024"
"8431702082","7682","8425327211","5.102","3006.10.90","0",3,"N","0","0","480","480","160","03/12/2024"
"8431702473","7682","8425327198","5.102","3004.90.99","0",4,"N","0","0","1820","1820","455","03/12/2024"
"8431703086","7682","8431592146","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8431703232","7682","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8431711825","7684","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8431766729","7685","8425327211","5.102","3006.10.90","0",6,"N","0","0","960","960","160","03/12/2024"
"8431792087","7686","8425327211","6.108","3006.10.90","0",3,"N","0","0","480","480","160","03/12/2024"
"8431792353","7686","8425327198","6.108","3004.90.99","0",2,"N","0","0","910","910","455","03/12/2024"
"8431792568","7686","8431592146","6.108","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8431792746","7686","8425327191","6.108","3004.90.99","0",4,"N","0","0","640","640","160","03/12/2024"
"8431808662","7687","8425327211","5.102","3006.10.90","0",3,"N","0","0","480","480","160","03/12/2024"
"8431812276","7687","8425327191","5.102","3004.90.99","0",2,"N","0","0","320","320","160","03/12/2024"
"8431834911","7688","8431553129","6.910","3006.10.90","0",1,"N","0","0","125","125","125","03/12/2024"
"8431837475","7689","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8432396957","7690","8431553159","5.102","3006.10.90","0",1,"N","0","0","125","140","125","03/12/2024"
"8432413683","7691","8425327198","5.102","3004.90.99","5",2,"N","0","47.9","958","910.1","479","03/12/2024"
"8432548129","7692","8431790039","5.102","9021.10.10","0",4,"N","0","0","140","140","35","03/12/2024"
"8432556699","7694","8432526164","5.102","9021.10.10","0",6,"N","0","0","462","462","77","03/12/2024"
"8432557098","7694","8432531495","5.102","9021.10.10","0",4,"N","0","0","308","308","77","03/12/2024"
"8432630954","7695","8431630591","5.102","3006.10.90","0",1,"N","0","0","99","99","99","03/12/2024"
"8432631128","7695","8425327198","5.102","3004.90.99","0",1,"N","0","0","479","479","479","03/12/2024"
"8432658052","7696","8430426215","5.102","5603.12.40","0",4,"N","0","0","136","136","34","03/12/2024"
"8432658693","7696","8425327191","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8432658758","7696","8431592137","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8435218404","7696","8431592137","5.102","3004.90.99","0",1,"N","0","0","169","169","169","03/12/2024"
"8435219320","7696","8425327211","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8448819678","7696","8430426215","5.102","5603.12.40","0",1,"N","0","0","34","34","34","03/12/2024"
"8448839080","7696","8431790036","5.102","9021.10.10","10",1,"N","0","14","140","126","140","03/12/2024"
"8432956309","7698","8425327211","5.102","3006.10.90","0",2,"N","0","0","320","320","160","03/12/2024"
"8432956543","7698","8425327198","5.102","3004.90.99","0",1,"N","0","0","455","455","455","03/12/2024"
"8432956750","7698","8431592146","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8432956844","7698","8425327191","5.102","3004.90.99","0",1,"N","0","0","160","160","160","03/12/2024"
"8432958816","7699","8425327213","5.102","3006.10.90","0",1,"N","0","0","169","169","169","03/12/2024"
"8433171726","7701","8433127844","5.102","9018.49.19","0",1,"N","0","0","640","655.76","640","03/12/2024"
"8433172262","7701","8433133301","5.102","9018.49.19","0",1,"N","0","0","499","511.29","499","03/12/2024"
"8433172335","7701","8431323167","5.102","3006.10.90","0",1,"N","0","0","282","288.95","282","03/12/2024"
"8433263873","7702","8425327211","5.102","3006.10.90","0",1,"N","0","0","160","160","160","03/12/2024"
