"id","numero_pedido","data_vencimento","meio_pagamento","numero_parcela","percentual","quantidade_dias","tipo_documento","valor","dalt"
"7671p1","7671","01/09/2024",,1,"100",31,"CRC","283","03/12/2024"
"7672p1","7672","01/09/2024",,1,"25",31,,"422.5","03/12/2024"
"7672p2","7672","01/10/2024",,2,"25",61,,"422.5","03/12/2024"
"7672p3","7672","01/11/2024",,3,"25",92,,"422.5","03/12/2024"
"7672p4","7672","01/12/2024",,4,"25",122,,"422.5","03/12/2024"
"7673p1","7673","01/08/2024",,1,"100",0,,"194","03/12/2024"
"7674p1","7674","02/08/2024",,1,"100",31,,"282.9","03/12/2024"
"7675p1","7675","01/08/2024",17,1,"100",0,,"5385","03/12/2024"
"7677p1","7677","09/08/2024",17,1,"100",31,"VIST","169","03/12/2024"
"7680p1","7680","08/08/2024",17,1,"100",0,"VIST","184.3","03/12/2024"
"7681p1","7681","06/08/2024",3,1,"50",31,"CRC","268.01","03/12/2024"
"7681p2","7681","06/08/2024",3,2,"50",61,"CRC","268","03/12/2024"
"7682p1","7682","02/09/2024",,1,"100",31,,"2940","03/12/2024"
"7684p1","7684","02/09/2024",15,1,"100",31,"BOL","169","03/12/2024"
"7685p1","7685","02/09/2024",,1,"100",31,,"960","03/12/2024"
"7686p1","7686","02/09/2024",,1,"100",31,,"2190","03/12/2024"
"7687p1","7687","02/09/2024",,1,"100",31,,"800","03/12/2024"
"7688p1","7688","02/08/2024",,1,"100",0,,"125","03/12/2024"
"7689p1","7689","02/09/2024",15,1,"100",31,"BOL","455","03/12/2024"
"7690p1","7690","05/09/2024",,1,"100",31,,"140","03/12/2024"
"7691p1","7691","05/09/2024",,1,"33.33",31,,"303.37","03/12/2024"
"7691p2","7691","05/10/2024",,2,"33.33",61,,"303.37","03/12/2024"
"7691p3","7691","05/11/2024",,3,"33.34",92,,"303.36","03/12/2024"
"7692p1","7692","05/10/2024",,1,"100",31,,"140","03/12/2024"
"7694p1","7694","07/08/2024",,1,"33.33",31,,"256.67","03/12/2024"
"7694p2","7694","07/08/2024",,2,"33.33",61,,"256.67","03/12/2024"
"7694p3","7694","07/08/2024",,3,"33.34",92,,"256.66","03/12/2024"
"7695p1","7695","05/08/2024",,1,"100",0,,"578","03/12/2024"
"7696p1","7696","03/10/2024",15,1,"33.33",31,"BOL","324","03/12/2024"
"7696p2","7696","03/11/2024",15,2,"33.33",61,"BOL","324","03/12/2024"
"7696p3","7696","03/12/2024",15,3,"33.34",92,"BOL","324","03/12/2024"
"7698p1","7698","06/09/2024",,1,"100",31,,"1095","03/12/2024"
"7699p1","7699","07/08/2024",4,1,"100",0,"CRD","169","03/12/2024"
"7701p1","7701","06/09/2024",,1,"25",31,,"364","03/12/2024"
"7701p2","7701","06/10/2024",,2,"25",61,,"364","03/12/2024"
"7701p3","7701","06/11/2024",,3,"25",92,,"364","03/12/2024"
"7701p4","7701","06/12/2024",,4,"25",122,,"364","03/12/2024"
"7702p1","7702","07/08/2024",4,1,"100",0,"CRD","160","03/12/2024"
